,Animal,Group,standard_time,phase,base_norm
0,337_CNO,CNO,0.0,baseline,1.315701563194694
1,337_CNO,CNO,10.0,baseline,1.6805106085978998
2,337_CNO,CNO,20.0,baseline,1.6824146044410142
3,337_CNO,CNO,30.0,baseline,0.8479700137384577
4,337_CNO,CNO,40.0,baseline,0.6780053626807563
5,337_CNO,CNO,50.0,baseline,0.36405053214397765
6,337_CNO,CNO,60.0,baseline,0.8085829031566124
7,337_CNO,CNO,70.0,baseline,1.5082312167872738
8,337_CNO,CNO,80.0,baseline,1.205163399088889
9,337_CNO,CNO,90.0,baseline,1.5373468348797192
10,337_CNO,CNO,100.0,baseline,0.3078608511523964
11,337_CNO,CNO,110.0,baseline,0.20571882602774505
12,337_CNO,CNO,120.0,baseline,-0.7449074160528328
13,337_CNO,CNO,130.0,baseline,-0.49262405393297903
14,337_CNO,CNO,140.0,baseline,0.14212256410741794
15,337_CNO,CNO,150.0,baseline,-0.406161783777694
16,337_CNO,CNO,160.0,baseline,-0.8153839582408788
17,337_CNO,CNO,170.0,baseline,-0.9529360876732205
18,337_CNO,CNO,180.0,baseline,-0.9941694960970269
19,337_CNO,CNO,190.0,baseline,-0.7780399603644621
20,337_CNO,CNO,200.0,baseline,-1.072548076620299
21,337_CNO,CNO,210.0,baseline,-1.251326687673853
22,337_CNO,CNO,220.0,baseline,-1.2476467158669642
23,337_CNO,CNO,230.0,baseline,-1.230986511937507
24,337_CNO,CNO,240.0,baseline,-1.324319309818546
25,337_CNO,CNO,250.0,baseline,-0.8110304229483253
26,337_CNO,CNO,260.0,baseline,0.3914689376458585
27,337_CNO,CNO,270.0,baseline,-0.9189853325664193
28,337_CNO,CNO,280.0,baseline,0.24483836288617367
29,337_CNO,CNO,290.0,baseline,0.12107923304271065
30,337_CNO,CNO,300.0,,-0.2457132810909908
31,337_CNO,CNO,310.0,trial,0.03131167239130205
32,337_CNO,CNO,320.0,trial,-0.7478928366486949
33,337_CNO,CNO,330.0,trial,0.010848219797833443
34,337_CNO,CNO,340.0,trial,0.8286384064995982
35,337_CNO,CNO,350.0,trial,2.883466768090272
36,337_CNO,CNO,360.0,trial,-0.18722846539153018
37,337_CNO,CNO,370.0,trial,0.10595849242348143
