Animal,Sex,Condition,Phase,Pct Component Time Freezing,Avg Motion Index
267,F,Cre+,baseline,2.111111111111111,321.93444444444435
267,F,Cre+,tone,15.945,132.35333333333332
267,F,Cre+,trace,13.416666666666666,123.79833333333333
282,M,Cre-,baseline,10.333333333333334,176.66555555555556
282,M,Cre-,tone,4.4433333333333325,139.30333333333334
282,M,Cre-,trace,6.861666666666667,118.575
283,M,Cre-,baseline,6.63,188.59111111111113
283,M,Cre-,tone,4.778333333333333,169.07
283,M,Cre-,trace,6.278333333333333,116.04833333333333
285,F,Cre+,baseline,13.592222222222222,139.58888888888887
285,F,Cre+,tone,36.193333333333335,61.00666666666667
285,F,Cre+,trace,29.55666666666667,76.48
286,F,Cre-,baseline,0.0,414.5644444444444
286,F,Cre-,tone,27.416666666666668,152.05
286,F,Cre-,trace,26.445000000000004,160.995
287,F,Cre-,baseline,1.76,296.1966666666667
287,F,Cre-,tone,3.7783333333333338,222.15333333333334
287,F,Cre-,trace,6.8066666666666675,216.225
288,M,Cre-,baseline,4.018888888888889,301.65999999999997
288,M,Cre-,tone,2.14,284.73499999999996
288,M,Cre-,trace,2.9450000000000003,267.57
289,M,Cre+,baseline,1.1111111111111112,345.71888888888884
289,M,Cre+,tone,29.666666666666668,101.35833333333335
289,M,Cre+,trace,26.44333333333334,89.07666666666667
290,M,Cre+,baseline,3.407777777777778,326.99
290,M,Cre+,tone,11.306666666666667,165.12666666666667
290,M,Cre+,trace,35.61,100.42166666666667
291,M,Cre+,baseline,9.741111111111111,227.2466666666667
291,M,Cre+,tone,31.000000000000004,183.27166666666665
291,M,Cre+,trace,43.443333333333335,74.35333333333334
292,F,Cre+,baseline,3.6666666666666665,202.20777777777778
292,F,Cre+,tone,27.776666666666667,98.94666666666666
292,F,Cre+,trace,18.61,133.29166666666666
294,M,Cre+,baseline,4.795555555555556,265.11333333333334
294,M,Cre+,tone,43.916666666666664,71.87833333333334
294,M,Cre+,trace,24.863333333333333,114.82833333333332
295,F,Cre-,baseline,5.148888888888889,234.88
295,F,Cre-,tone,10.833333333333334,203.06500000000003
295,F,Cre-,trace,2.638333333333333,274.8233333333333
296,F,Cre-,baseline,0.6477777777777778,400.0466666666667
296,F,Cre-,tone,20.945,190.74166666666667
296,F,Cre-,trace,16.30333333333333,197.17333333333332
