,index,Animal,Sex,Condition,Component Name,Phase,Pct Component Time Freezing,Avg Motion Index
0,10,145,F,TFC,trace-1,trace,54.0,241.2
1,18,145,F,TFC,trace-2,trace,61.67,230.08
2,26,145,F,TFC,trace-3,trace,29.5,198.0
3,34,145,F,TFC,trace-4,trace,78.0,162.36
4,42,145,F,TFC,trace-5,trace,6.33,565.25
5,50,145,F,TFC,trace-6,trace,26.5,382.27
6,58,145,F,TFC,trace-7,trace,16.5,307.09
7,66,145,F,TFC,trace-8,trace,16.67,379.85
8,74,145,F,TFC,trace-9,trace,49.83,169.16
9,82,145,F,TFC,trace-10,trace,7.33,534.82
10,99,157,M,TFC,trace-1,trace,77.33,98.24
11,107,157,M,TFC,trace-2,trace,80.17,132.09
12,115,157,M,TFC,trace-3,trace,93.5,69.8
13,123,157,M,TFC,trace-4,trace,89.33,100.37
14,131,157,M,TFC,trace-5,trace,78.5,120.1
15,139,157,M,TFC,trace-6,trace,87.5,111.58
16,147,157,M,TFC,trace-7,trace,69.83,184.59
17,155,157,M,TFC,trace-8,trace,91.17,84.62
18,163,157,M,TFC,trace-9,trace,5.0,478.4
19,171,157,M,TFC,trace-10,trace,97.67,47.59
20,188,149,F,TFC,trace-1,trace,98.0,11.39
21,196,149,F,TFC,trace-2,trace,83.83,51.27
22,204,149,F,TFC,trace-3,trace,78.67,82.89
23,212,149,F,TFC,trace-4,trace,96.17,46.14
24,220,149,F,TFC,trace-5,trace,85.33,73.0
25,228,149,F,TFC,trace-6,trace,60.33,141.33
26,236,149,F,TFC,trace-7,trace,82.5,73.89
27,244,149,F,TFC,trace-8,trace,89.17,77.06
28,252,149,F,TFC,trace-9,trace,82.5,45.66
29,260,149,F,TFC,trace-10,trace,76.5,59.42
30,277,153,M,TFC,trace-1,trace,30.33,291.78
31,285,153,M,TFC,trace-2,trace,52.33,204.69
32,293,153,M,TFC,trace-3,trace,40.67,265.58
33,301,153,M,TFC,trace-4,trace,60.67,160.18
34,309,153,M,TFC,trace-5,trace,47.17,248.66
35,317,153,M,TFC,trace-6,trace,53.33,222.67
36,325,153,M,TFC,trace-7,trace,60.17,196.44
37,333,153,M,TFC,trace-8,trace,0.0,464.53
38,341,153,M,TFC,trace-9,trace,31.67,342.05
39,349,153,M,TFC,trace-10,trace,62.17,163.38
