,Animal,Condition,Phase,Pct Component Time Freezing
0,1,Veh,baseline,8.2225
2,1,Veh,tone,83.02666666666666
3,1,Veh,trace,47.166666666666664
4,10,Low,baseline,32.68000000000001
6,10,Low,tone,70.88833333333334
7,10,Low,trace,52.778333333333336
8,11,Veh,baseline,2.6808333333333336
10,11,Veh,tone,63.08500000000001
11,11,Veh,trace,54.33333333333334
16,13,Low,baseline,18.138333333333332
18,13,Low,tone,73.36166666666666
19,13,Low,trace,55.445
20,14,Veh,baseline,20.471666666666668
22,14,Veh,tone,91.05499999999999
23,14,Veh,trace,85.97166666666665
28,16,High,baseline,16.430000000000003
30,16,High,tone,31.556666666666672
31,16,High,trace,38.248333333333335
32,17,Veh,baseline,15.264166666666668
34,17,Veh,tone,69.94500000000001
35,17,Veh,trace,74.30333333333333
40,19,High,baseline,9.139166666666666
42,19,High,tone,75.94333333333333
43,19,High,trace,65.88833333333334
48,20,Low,baseline,26.320000000000004
50,20,Low,tone,65.25
51,20,Low,trace,70.64
56,22,High,baseline,12.41666666666667
58,22,High,tone,67.085
59,22,High,trace,77.16833333333334
60,23,Low,baseline,31.875
62,23,Low,tone,92.58166666666666
63,23,Low,trace,73.00166666666668
64,24,Veh,baseline,31.888333333333332
66,24,Veh,tone,44.10999999999999
67,24,Veh,trace,38.723333333333336
68,3,High,baseline,4.708333333333333
70,3,High,tone,66.11166666666666
71,3,High,trace,54.47
72,4,Low,baseline,26.653333333333336
74,4,Low,tone,83.39
75,4,Low,trace,69.94500000000001
80,6,High,baseline,10.57
82,6,High,tone,67.61166666666666
83,6,High,trace,71.49833333333332
84,7,Low,baseline,9.75
86,7,Low,tone,49.973333333333336
87,7,Low,trace,64.11333333333333
88,8,Veh,baseline,36.666666666666664
90,8,Veh,tone,87.74833333333333
91,8,Veh,trace,79.47166666666666
92,9,High,baseline,4.319166666666667
94,9,High,tone,15.89
95,9,High,trace,34.526666666666664
