,Animal,Condition,Phase,Pct Component Time Freezing
0,1,Prop,baseline,57.04166666666666
2,1,Prop,tone,78.63833333333334
3,1,Prop,trace,66.02666666666666
4,10,Prop,baseline,8.319166666666666
6,10,Prop,tone,70.69500000000001
7,10,Prop,trace,61.75
8,11,Veh,baseline,8.945
10,11,Veh,tone,46.555
11,11,Veh,trace,70.83166666666666
12,12,Veh,baseline,19.874166666666664
14,12,Veh,tone,96.61166666666668
15,12,Veh,trace,94.05666666666667
16,13,Prop,baseline,25.805833333333336
18,13,Prop,tone,92.66666666666667
19,13,Prop,trace,84.97333333333333
20,14,Veh,baseline,13.680833333333334
22,14,Veh,tone,72.08333333333333
23,14,Veh,trace,56.945
24,15,Prop,baseline,32.332499999999996
26,15,Prop,tone,84.52666666666666
27,15,Prop,trace,67.88833333333334
28,16,Veh,baseline,14.305833333333334
30,16,Veh,tone,90.30499999999999
31,16,Veh,trace,72.27833333333334
32,2,Veh,baseline,44.36166666666667
34,2,Veh,tone,74.08333333333333
35,2,Veh,trace,65.22166666666666
36,3,Prop,baseline,23.500000000000004
38,3,Prop,tone,41.445
39,3,Prop,trace,68.33333333333333
40,4,Veh,baseline,20.958333333333332
42,4,Veh,tone,85.36000000000001
43,4,Veh,trace,60.973333333333336
44,5,Prop,baseline,13.415833333333333
46,5,Prop,tone,78.94500000000001
47,5,Prop,trace,77.13833333333334
48,6,Prop,baseline,37.332499999999996
50,6,Prop,tone,82.77833333333334
51,6,Prop,trace,66.66666666666667
52,7,Veh,baseline,2.1525
54,7,Veh,tone,58.0
55,7,Veh,trace,54.805
56,8,Prop,baseline,9.610833333333334
58,8,Prop,tone,64.58333333333333
59,8,Prop,trace,82.63833333333334
60,9,Veh,baseline,2.9166666666666665
62,9,Veh,tone,63.666666666666664
63,9,Veh,trace,57.526666666666664
