,Unnamed: 0,Animal,Condition,Phase,Pct Component Time Freezing
0,0,S25,Veh,baseline,10.888333333333334
2,2,S25,Veh,tone,69.94500000000001
3,3,S25,Veh,trace,51.581666666666656
4,4,S26,SCH,baseline,5.069166666666667
6,6,S26,SCH,tone,21.026666666666667
7,7,S26,SCH,trace,32.166666666666664
8,8,S27,Veh,baseline,8.346666666666666
10,10,S27,Veh,tone,80.52833333333334
11,11,S27,Veh,trace,68.49833333333333
12,12,S28,SCH,baseline,1.57
14,14,S28,SCH,tone,37.22
15,15,S28,SCH,trace,52.38833333333333
16,16,S29,SCH,baseline,2.958333333333333
18,18,S29,SCH,tone,38.693333333333335
19,19,S29,SCH,trace,52.833333333333336
20,20,S30,Veh,baseline,10.625
22,22,S30,Veh,tone,79.38833333333334
23,23,S30,Veh,trace,81.27666666666666
24,24,S31,SCH,baseline,0.4308333333333333
26,26,S31,SCH,tone,8.803333333333333
27,27,S31,SCH,trace,11.11
28,28,S32,Veh,baseline,6.3758333333333335
30,30,S32,Veh,tone,43.91666666666666
31,31,S32,Veh,trace,51.305
32,32,S33,Veh,baseline,3.236666666666667
34,34,S33,Veh,tone,54.25
35,35,S33,Veh,trace,61.36166666666667
36,36,S34,SCH,baseline,1.7908333333333335
38,38,S34,SCH,tone,10.776666666666666
39,39,S34,SCH,trace,20.89
40,40,S35,Veh,baseline,4.945
42,42,S35,Veh,tone,35.001666666666665
43,43,S35,Veh,trace,43.695
44,44,S36,SCH,baseline,0.0
46,46,S36,SCH,tone,4.306666666666668
47,47,S36,SCH,trace,6.085
48,48,S37,SCH,baseline,1.75
50,50,S37,SCH,tone,50.16666666666666
51,51,S37,SCH,trace,48.695
52,52,S38,Veh,baseline,46.348333333333336
54,54,S38,Veh,tone,33.831666666666656
55,55,S38,Veh,trace,33.528333333333336
56,56,S39,SCH,baseline,2.555
58,58,S39,SCH,tone,73.64
59,59,S39,SCH,trace,66.0
60,60,S40,Veh,baseline,1.945
62,62,S40,Veh,tone,35.665
63,63,S40,Veh,trace,34.805
