,Animal,Condition,Phase,Pct Component Time Freezing
0,426,Veh,baseline,3.0691666666666664
2,426,Veh,tone,48.055
3,426,Veh,trace,49.0
4,427,SCH,baseline,13.082500000000001
6,427,SCH,tone,83.61
7,427,SCH,trace,73.75
8,432,SCH,baseline,4.14
10,432,SCH,tone,74.66666666666667
11,432,SCH,trace,52.25
12,433,Veh,baseline,9.75
14,433,Veh,tone,94.66666666666667
15,433,Veh,trace,77.36
16,434,SCH,baseline,3.2225
18,434,SCH,tone,76.63833333333334
19,434,SCH,trace,52.441666666666656
20,437,Veh,baseline,27.36
22,437,Veh,tone,99.58333333333333
23,437,Veh,trace,92.335
24,438,SCH,baseline,3.1666666666666665
26,438,SCH,tone,90.58333333333333
27,438,SCH,trace,79.97333333333334
28,439,Veh,baseline,6.930833333333333
30,439,Veh,tone,76.27833333333334
31,439,Veh,trace,71.89
32,440,SCH,baseline,2.4025
34,440,SCH,tone,94.41666666666667
35,440,SCH,trace,84.33500000000001
36,441,Veh,baseline,4.916666666666667
38,441,Veh,tone,71.58333333333333
39,441,Veh,trace,52.501666666666665
40,442,SCH,baseline,2.8466666666666662
42,442,SCH,tone,45.11166666666667
43,442,SCH,trace,54.445
44,443,Veh,baseline,4.445
46,443,Veh,tone,51.055
47,443,Veh,trace,43.58500000000001
48,444,SCH,baseline,3.4308333333333336
50,444,SCH,tone,87.61
51,444,SCH,trace,63.60999999999999
52,445,Veh,baseline,5.610833333333333
54,445,Veh,tone,59.25
55,445,Veh,trace,51.80666666666667
56,446,SCH,baseline,5.333333333333333
58,446,SCH,tone,64.22166666666666
59,446,SCH,trace,57.38833333333333
60,459,Veh,baseline,1.8191666666666666
62,459,Veh,tone,51.13999999999999
63,459,Veh,trace,58.13999999999999
